"lemma","count","strong","lexicon"
"Πρίσκιλλα",3,"G42520","{'brief': 'Prisca, Priscilla', 'long': 'Prisca, Priscilla, the former being the more correct and formal name, the latter a diminutive and more familiar; a Roman lady, probably of good birth, wife of the Jewish Christian Aquila.'}"
"Πόντος",2,"G41950","{'brief': 'Pontus', 'long': 'Pontus, a Roman province in the north of Asia Minor, bordering on the Black Sea, governed along with Bithynia.'}"
"Σάρρα",4,"G45640","{'brief': 'Sarah', 'long': 'Sarah, wife of Abraham.'}"
"Σήθ",1,"G45890","{'brief': 'Seth', 'long': 'Seth, third son of Adam.'}"
"Σήμ",1,"G45900","{'brief': 'Shem', 'long': 'Shem, a son of Noah.'}"
"Σίλας",8,"G46090","{'brief': 'Silas', 'long': 'Silas, a pet-form of the name ""Silvanus""; a Roman citizen and a helper of Paul.'}"
"Σίμων",27,"G46130","{'brief': 'Simon', 'long': 'Simon.'}"
"Σαδώκ",2,"G45240","{'brief': 'Zadok', 'long': 'Zadok, an ancestor of Jesus.'}"
"Σαμάρεια",11,"G45400","{'brief': 'Samaria', 'long': 'Samaria, a small district of Palestine, bounded by Galilee on the north, and by Judaea on the south, and taking its name from the city of Samaria, the ancient capital of the kingdom of (northern) Israel.'}"
"Σαμαρείτης",9,"G45410","{'brief': 'a Samaritan', 'long': 'a Samaritan.'}"
"Σαμαρεῖτις",2,"G45420","{'brief': 'a Samaritan woman', 'long': 'a Samaritan woman.'}"
"Σαμουήλ",2,"G45450","{'brief': 'Samuel', 'long': 'Samuel, a Hebrew prophet.'}"
"Σαμψών",1,"G45460","{'brief': 'Samson', 'long': 'Samson, one of the Judges of Israel.'}"
"Σαούλ",8,"G45690","{'brief': 'Saul, the apostle', 'long': 'Saul, the apostle.'}"
"Σαῦλος",15,"G45690","{'brief': 'Saul, the apostle', 'long': 'Saul, the apostle.'}"
"Σιδών",10,"G46050","{'brief': 'Sidon', 'long': 'Sidon, a great coast city of Phoenicia.'}"
"Σιδώνιος",2,"G46060","{'brief': 'Sidonian', 'long': 'Sidonian, inhabitant of Sidon.'}"
"Σιλουανός",2,"G46100","{'brief': 'Silvanus', 'long': 'Silvanus, a Roman citizen and a helper of Paul.'}"
"Σιλᾶς",4,"G46090","{'brief': 'Silas', 'long': 'Silas, a pet-form of the name ""Silvanus""; a Roman citizen and a helper of Paul.'}"
"Σολομών",9,"G46720","{'brief': 'Solomon', 'long': 'Solomon, son of David King of Israel, and Bathsheba.'}"
"Σολομῶν",3,"G46720","{'brief': 'Solomon', 'long': 'Solomon, son of David King of Israel, and Bathsheba.'}"
"Στέφανος",7,"G47360","{'brief': 'Stephen', 'long': 'Stephen, one of the seven original deacons at Jerusalem, and the first martyr.'}"
"Συμεών",2,"G48260","{'brief': 'Simeon or Simon', 'long': 'Simeon or Simon.'}"
"Συρία",8,"G49470","{'brief': 'Syria', 'long': 'Syria, a great Roman imperial province, united with Cilicia.'}"
"Συχέμ",2,"G49660","{'brief': 'Shechem', 'long': 'Shechem.'}"
"Σόδομα",9,"G46700","{'brief': 'Sodom', 'long': 'Sodom.'}"
"Σύρος",1,"G49480","{'brief': 'Syrian', 'long': 'Syrian, belonging to Syria.'}"
"Τίτος",13,"G51030","{'brief': 'Titus', 'long': 'Titus, a Greek Christian, helper of Paul, perhaps also brother of Luke.'}"
"Ταρσεύς",2,"G50180","{'brief': 'belonging to Tarsus', 'long': 'belonging to Tarsus, a Tarsian.'}"
"Ταρσός",3,"G50190","{'brief': 'Tarsus', 'long': 'Tarsus, the capital of the Roman province Cilicia.'}"
